,Cat position,
Cat,1175,680


,Witch position,
Witch,50,650


,Poop positions,
Poop,350,680,0,0.15
Poop,550,0,0,0.15


Poop,0,300,0.15,0
Poop,1250,550,0.15,0


,Door position
Door,1200,600


,Orb positions,
Orb,760,365
Orb,560,60
Orb,160,60

,Spike positions,

Spike,1100,660
Spike,1100,570
Spike,1100,480
Spike,1100,390
Spike,1100,300
Spike,1100,210


Spike,265,630
Spike,465,630
Spike,665,630
Spike,765,640
Spike,765,550
Spike,765,460

Spike,965,650
Spike,965,560
Spike,965,470
Spike,965,380

Spike,765,200
Spike,765,140
Spike,565,140
Spike,565,200
Spike,365,200
Spike,365,140
Spike,165,200
Spike,165,140

,Cauldron positions,
Cauldron,150,650
Cauldron,250,600
Cauldron,450,600
Cauldron,850,200
Cauldron,650,200
Cauldron,450,200
Cauldron,250,200
Cauldron,50,200

,Double Cauldron positions,
DoubleCauldron,650,600
DoubleCauldron,850,550
DoubleCauldron,1015,400
